#年度	大問	問	導いた正解	確度	根拠
令和6	4	30	4	確	チンギスが倒した中央アジアの国＝ホラズム=シャー朝
令和6	4	31	2	確	h東西交流を促す iバトゥ
令和6	4	32	3	確	j北京 k交鈔を発行し銅銭が日本へ流入
令和6	4	33	1	推	l儒教・科挙を重視せず m14世紀（紅巾の乱1351）。格子の並びから推定
令和6	5	34	3	確	適切でない＝ルターは農民戦争で諸侯側についた
令和6	5	35	3	確	適切でない＝チューリヒで改革を始めたのはツヴィングリ
令和6	5	36	4	確	ラテンアメリカ独立の担い手＝クリオーリョ
令和6	5	37	1	確	A正(仏vs神聖ローマ) B正(ルネサンス衰退)
令和6	5	38	2	確	適切でない＝スペイン継承戦争の講和はユトレヒト条約
令和6	5	39	2	確	f常備軍が形成され g中央集権化
令和6	5	40	1	確	h印紙法 i代表（代表なくして課税なし）
令和6	5	41	2	確	ア(ボストン)-Y(アメリカ独立宣言の史料)
令和6	6	42	1	推	a董仲舒 b新（格子の並びから推定）
令和6	6	43	3	確	c五経 e道教
令和6	6	44	?	不明	略地図のX〜Zが判別できず（影響は「ア」＝家柄の固定化 と確定）
令和6	6	45	3	確	適切でない＝民会の決定は多数決（全会一致ではない）
令和6	6	46	1	確	適切でない＝民主政を完成させたのはペリクレス
令和6	6	47	5	確	ウ(マリウスとスラ)→ア(第1回三頭政治)→イ(第2回三頭政治)
令和6	6	48	1	確	A正(西ゴートのドナウ渡河) B正(ともにビザンツが滅ぼす)
令和6	6	49	1	確	j身分制議会 kピューリタン革命のイギリス
令和6	6	50	3	確	A誤(中書省を廃したのは洪武帝) B正(アウラングゼーブ)
令和7	1	1	1	確	南イタリア＝ノルマン人の両シチリア王国
令和7	1	2	1	確	ホラティウスの代表作＝叙情詩集
令和7	1	3	2	確	松田メモ誤(第2回三頭政治にクラッススは入らない)／関口メモ正
令和7	1	4	3	確	カルタゴとの戦争＝ポエニ戦争
令和7	1	5	2	確	適切でない＝プラトンは民衆の政治を理想としていない
令和7	1	6	2	確	A正(カイロネイア) B誤(マラトンはペルシア戦争)
令和7	1	7	4	確	下線部はヘレニズム文化。アルキメデスのみヘレニズム期
令和7	1	8	4	確	A誤(ガリアは現フランス) B誤(トラヤヌスは五賢帝の2番目)
令和7	2	9	3	確	インダス文明＝シヴァ神の原型とみられる像
令和7	2	10	2	確	bチャンドラグプタ王 cパータリプトラ
令和7	2	11	2	確	アショーカ王(前3世紀前半)は前403〜前206の間＝イ
令和7	2	12	2	確	A正(竜樹の「空」) B誤(大乗仏教はクシャーナ朝期)
令和7	2	13	1	確	A正(韓愈・柳宗元の古文復興) B正(孔穎達『五経正義』)
令和7	2	14	3	推	黄巾の乱＝後漢滅亡の一因。①の主語がOCRで欠落し確定できず
令和7	2	15	2	確	A正(均田制を継承) B誤(科挙が代わったのは九品中正)
令和7	2	16	3	確	i玄宗 j安史の乱
令和7	3	17	3	確	イ(ホスロー1世)-X(突厥と結び エフタルを滅ぼす)
令和7	3	18	2	確	A正(アッバース朝のバグダード) B誤(ムラービト朝は北アフリカ)
令和7	3	19	3	確	適切でない＝ウマイヤ朝の都はダマスクス
令和7	3	20	3	確	A誤(啓典の民は改宗を強制されない) B正(ウンマ)
令和7	3	21	4	確	アッバース朝の最盛期＝ハールーン=アッラシード
令和7	3	22	1	確	ウマイヤ朝を開いたのはムアーウィヤ
令和7	3	23	1	確	A正(ブワイフ朝の大アミール) B正(ファーティマ朝はカリフを自称)
令和7	3	24	4	確	A誤(タバリーは歴史家) B誤(フワーリズミーは数学者)
令和7	4	25	3	確	13世紀初頭＝日本は鎌倉幕府の統治
令和7	4	26	4	確	原メモ誤(ルブルックはルイ9世の使者)／野沢メモ誤(モンテ=コルヴィノはカトリック)
令和7	4	27	1	確	A正(ホラズム=シャー朝を倒す) B正(千戸制)
令和7	4	28	1	推	バトゥの父＝長男ジョチ。設問番号の対応がOCRで不確か
令和7	4	29	2	推	eワールシュタットの戦い fキプチャク=ハン国。設問番号の対応が不確か
令和7	4	30	?	不明	地図のX/Yが判別できず（記述は「ア」＝運河を城内まで と確定＝①か③）
令和7	4	31	2	確	A正(南宋を滅ぼす) B誤(アッバース朝を滅ぼしたのはフラグ)
令和7	4	32	3	確	i紅巾の乱 jインド洋
令和7	5	33	1	確	A正(1492カリブ海) B正(トスカネリの地球球体説)
令和7	5	34	1	確	A正(カブラルのブラジル漂着) B正(バルボアの太平洋到達)
令和7	5	35	3	確	フランス＝シャンデルナゴル（他は国か場所が誤り）
令和7	5	36	2	確	dバルトロメウ=ディアス eマゼラン
令和7	5	37	1	確	斎藤メモ正／片山メモ誤（先住民の宗教は弾圧された）
令和7	5	38	2	確	A正(カルロス1世・フェリペ2世) B誤(ナントの王令はアンリ4世)
令和7	5	39	2	確	人権宣言1789年8月＝バスティーユ(7月)とヴァレンヌ(1791)の間
令和7	5	40	1	確	A正(ライン同盟) B正(トラファルガー→大陸封鎖令)
令和7	6	41	4	確	元寇は13世紀。シモン=ド=モンフォールの反乱(1258-65)が同世紀
令和7	6	42	2	確	ディオクレティアヌス帝のキリスト教徒大迫害
令和7	6	43	3	確	『史記』＝司馬遷
令和7	6	44	1	確	ア(ジョン王)-X(在仏英領喪失→財政難→重税に貴族が反発)
令和7	6	45	4	確	適切でない＝サレルノ大学は医学で有名
令和7	6	46	3	確	A誤(イエズス会は1534年＝16世紀) B正(ザビエルは中国をめざした)
令和7	6	47	3	確	A誤(アテネで奴隷解放はない) B正(先住民の銀山強制労働)
令和7	6	48	3	確	適切でない＝リディアは小アジア（アフリカではない）
令和7	6	49	1	確	A正(武器・綿織物) B正(砂糖・タバコのプランテーション)
令和7	6	50	4	確	イ(朱元璋)-Y(六諭)
令和7	7総	51	3	推	十四カ条＝ウィルソン（歴史総合の大問。丸数字がOCRで崩れ位置から推定）
令和7	7総	52	2	確	適切でない＝ロンドン海軍軍備制限条約は1930年（歴史総合の大問）
令和7	7総	53	1	確	ゲティスバーグ演説1863＝1789〜1871の区間（歴史総合の大問）
令和7	7総	54	4	確	柳条湖事件（歴史総合の大問）
令和7	7総	55	2	確	1933年に脱退＝ドイツ（歴史総合の大問）
令和7	7総	56	3	確	A誤(全権は吉田茂) B正(小笠原・沖縄は米施政権下)（歴史総合の大問）
令和7	7総	57	3	推	スターリン批判＝フルシチョフ。丸数字がOCRで崩れ位置から推定（歴史総合）
令和7	7総	58	2	確	適切でない＝自衛隊はベトナムに派遣されていない（歴史総合の大問）
令和7	7総	59	1	確	ア(セシル=ローズ)-ウ(イギリスの縦断政策)（歴史総合の大問）
令和7	7総	60	3	確	袁世凱が二十一カ条要求の大部分を受諾（歴史総合の大問）
